size,threads,time
10000,1,315.697905
10000,1,315.787906
10000,1,315.687581
10000,1,315.576722
10000,1,315.565061
10000,2,311.770443
10000,2,311.721737
10000,2,311.787143
10000,2,311.834057
10000,2,311.873338
10000,4,323.461377
10000,4,323.489443
10000,4,323.416664
10000,4,323.408799
10000,4,323.380183
10000,8,346.738771
10000,8,348.026768
10000,8,346.668154
10000,8,346.637024
10000,8,346.610694
10000,16,380.209603
10000,16,382.209536
10000,16,380.435211
10000,16,379.662221
10000,16,380.894890
10000,32,445.658228
10000,32,461.719076
10000,32,465.846014
10000,32,450.507628
10000,32,460.806081
10000,64,485.719639
10000,64,489.395695
10000,64,479.337697
10000,64,495.783095
10000,64,467.655165

